timestamp,harness_version,config_fingerprint,endpoint_name,provider,model,base_url,thinking_effort,max_tokens,release_version,adaptive_thinking,checker_timeout,prompt_style,problem_id,difficulty,problem_number,run_idx,request_status,stop_reason,input_tokens,output_tokens,ttft_s,gen_time_s,generation_wall_s,total_wall_s,tokens_per_s,passed,error_type,error_message
2026-07-04T06:15:46.683131+00:00,3,60c633cebf37d204,qa-v3-openai-fast,openai,gpt-5.5-koffing-castor-kosmo-0527-test-ev3,https://api.openai.com/v1,xhigh,32000,v6,True,6,OpenAIChat,abc388_e,hard,4,1,completed,completed,582,567,3.579166,0.085654,2.413273,3.731551,234.951,True,,
2026-07-04T06:15:53.539871+00:00,3,8e06277663163a76,qa-v3-claude-fable-5,anthropic,claude-fable-5,,xhigh,32000,v6,True,6,OpenAIChat,abc388_e,hard,4,1,completed,end_turn,776,345,5.779901,1.980585,3.531898,7.828839,97.681,True,,
