timestamp,harness_version,config_fingerprint,endpoint_name,provider,model,base_url,thinking_effort,max_tokens,release_version,adaptive_thinking,checker_timeout,prompt_style,problem_id,difficulty,problem_number,run_idx,request_status,stop_reason,input_tokens,output_tokens,ttft_s,gen_time_s,generation_wall_s,total_wall_s,tokens_per_s,passed,error_type,error_message
2026-07-08T00:10:32.780479+00:00,3,56582acef8cf9dcb,openai-model-fast-q1-40k-xhigh-20260707,openai,gpt-5.5-koffing-castor-kosmo-0527-test-ev3,https://api.openai.com/v1,xhigh,40000,v6,True,6,OpenAIChat,abc387_f,hard,1,1,completed,completed,451,2624,12.362429,0.968892,11.614277,13.430060,225.929,True,,
2026-07-08T00:10:53.162432+00:00,3,2c196522224f78af,anthropic-opus-4.8-q1-40k-max-20260707,anthropic,claude-opus-4-8,,max,40000,v6,True,6,OpenAIChat,abc387_f,hard,1,1,completed,end_turn,596,20960,211.478876,11.839185,221.272828,223.437496,94.725,True,,
2026-07-08T00:14:41.579441+00:00,3,2d25182a24607238,anthropic-fable-5-q1-40k-max-20260707,anthropic,claude-fable-5,,max,40000,v6,True,6,OpenAIChat,abc387_f,hard,1,1,completed,end_turn,596,18865,209.185636,12.369204,217.879918,221.651848,86.584,True,,
