selection_batch,provider,display_model,model,endpoint_name,thinking_effort,questions,correct,incorrect,accuracy,total_time_s,average_time_s,median_time_s,minimum_time_s,maximum_time_s,input_tokens,output_tokens,reasoning_tokens,visible_output_tokens,total_tokens,output_tokens_per_total_wall_s,judge_model
opus-hle100-mini-1-10,anthropic,claude-opus-4-8,claude-opus-4-8,hle-mini-100-v1-q001-010-opus-max,max,10,4,6,0.4,3584.500383,358.4500383,139.69391000000002,9.461582,1108.425702,4701,289974,not_reported,289974,294675,80.8966296600895,gpt-5.5
gpt-hle100-mini-1-10,openai,gpt-5.6-ultrafast,gpt-5.5-koffing-castor-kosmo-0527-test-ev3,hle-mini-100-v1-q001-010-xhigh,xhigh,10,3,7,0.3,246.70728000000003,24.670728,19.542394,1.770633,53.827934,3245,55409,53326,2083,58654,224.59410196569794,gpt-5.5
