problem_number,problem_id,model,reasoning_effort,passed,agent_wall_s,first_codex_item_s,output_tokens,reasoning_output_tokens,agent_end_to_end_output_tps,native_inference_output_tps,total_inference_seconds,total_all_models_inference_seconds,total_tool_seconds,inference_tool_concurrency_seconds,total_unattributed_seconds,server_aggregate_inference_output_tps,codex_reported_inference_output_tps,sse_event_window_output_tps_diagnostic,active_generation_output_tps,active_generation_eligibility,solution_path
1,abc387_f,gpt-5.6-sol-ultrafast,high,True,41.85475595807657,0.7016141661442816,4830,2920,115.39907208724202,177.04361573291519,27.281413000999997,28.904762,9.473,1.033257,4.510250958,,,,,unavailable_until_reasoning_item_type_is_scrutable,/Users/james/Library/Mobile Documents/com~apple~CloudDocs/Code/live-code-bench/LiveCodeBench/native-codex-gpt-5.6-sol-ultrafast-high-q1-5-2026-07-13_145017/q1_abc387_f/solution.py
2,abc388_g,gpt-5.6-sol-ultrafast,high,True,66.65128620807081,0.24112645792774856,5430,2019,81.46879541152022,262.412968425548,20.521089458,35.895747,39.57,15.205759,6.391298208,,,,,unavailable_until_reasoning_item_type_is_scrutable,/Users/james/Library/Mobile Documents/com~apple~CloudDocs/Code/live-code-bench/LiveCodeBench/native-codex-gpt-5.6-sol-ultrafast-high-q1-5-2026-07-13_145017/q2_abc388_g/solution.py
3,abc388_f,gpt-5.6-sol-ultrafast,high,True,72.57773979217745,0.17974587506614625,5560,3006,76.60751100710449,197.14941330508768,27.704875751,33.54521,39.557414,4.879913,4.355028792,,,,,unavailable_until_reasoning_item_type_is_scrutable,/Users/james/Library/Mobile Documents/com~apple~CloudDocs/Code/live-code-bench/LiveCodeBench/native-codex-gpt-5.6-sol-ultrafast-high-q1-5-2026-07-13_145017/q3_abc388_f/solution.py
4,abc388_e,gpt-5.6-sol-ultrafast,high,True,61.345997540978715,0.17341645807027817,4185,1946,68.2196095548768,240.66904416740806,17.135564793,22.884577,38.295754,5.684192,5.849858541,,,,,unavailable_until_reasoning_item_type_is_scrutable,/Users/james/Library/Mobile Documents/com~apple~CloudDocs/Code/live-code-bench/LiveCodeBench/native-codex-gpt-5.6-sol-ultrafast-high-q1-5-2026-07-13_145017/q4_abc388_e/solution.py
5,abc389_g,gpt-5.6-sol-ultrafast,high,True,42.233405083883554,0.20878291688859463,5627,2678,133.23576417349514,242.54488159498456,23.199829916,30.847887,11.218,6.655881,6.823399084,,,,,unavailable_until_reasoning_item_type_is_scrutable,/Users/james/Library/Mobile Documents/com~apple~CloudDocs/Code/live-code-bench/LiveCodeBench/native-codex-gpt-5.6-sol-ultrafast-high-q1-5-2026-07-13_145017/q5_abc389_g/solution.py
